did,n_samples,n_features,imbalance_ratio,avg_corr,class_sep,best_algo
45570,25000,28,0.8870772946859904,0.0688173627967221,0.28168693,SVM
45689,25000,14,0.3309199318568995,0.0,1404.1951,LogisticRegression
45660,25000,8,0.7350267194114789,0.1957588459581385,0.4019202,RandomForest
45656,25000,14,0.3308490817141336,0.0,49.977123,RandomForest
45654,25000,20,0.9996800511918094,0.005273617102043,1.2463523,LogisticRegression
45703,25000,16,0.1315289218792432,0.0,1026.3444,LogisticRegression
45704,25000,10,0.9992003198720512,0.1862391977404943,0.5817236,SVM
45693,25000,8,0.7350267194114789,0.1957588459581385,0.4019202,RandomForest
42732,25000,8,0.1384335154826958,0.0,650.2751,SVM
1216,25000,9,0.0467258415675766,0.1229684806299615,894883.5,LogisticRegression
1240,25000,29,0.7853317146325788,0.0,49.977123,RandomForest
1372,25000,36,0.9161493063539512,0.0,0.7722357,SVM
1371,25000,36,0.9161493063539512,0.0,0.30008495,SVM
1236,25000,3,0.1256190904997748,0.0,1.5941888,RandomForest
1373,25000,36,0.9161493063539512,0.0,0.675118,SVM
1374,25000,36,0.9161493063539512,0.0,0.5555365,SVM
1377,25000,36,0.9161493063539512,0.0,0.67590576,SVM
269,25000,19,0.2623074981065387,0.0,16.383604,LogisticRegression
267,25000,13,0.7986905532772142,0.0991414511245449,21.960865,LogisticRegression
262,25000,39,0.7298643786327152,0.0,287.1701,RandomForest
260,25000,20,0.4290613924774208,0.0,541.105,LogisticRegression
258,25000,15,0.8050541516245487,0.0,1424.72,LogisticRegression
257,25000,22,0.5866971312515867,0.0,16.317352,LogisticRegression
1376,25000,36,0.9161493063539512,0.0,0.74296695,SVM
45583,25000,11,1.0,0.0,26487.434,LogisticRegression
246,25000,16,0.5455950540958269,0.0,2.7644958,LogisticRegression
1370,25000,36,0.9161493063539512,0.0,0.3812322,SVM
1369,25000,36,0.9161493063539512,0.0,0.67536217,SVM
1238,25000,3,0.5005101734589761,0.0,1.500532,RandomForest
45556,25000,11,1.0,0.273482873756477,5.217133,LogisticRegression
1237,25000,3,0.7986905532772142,0.0,1.2809769,RandomForest
1235,25000,9,0.4880066662698649,0.0,2796.9443,RandomForest
1212,25000,44,0.3913624220837043,0.0177905197363654,14.5090275,SVM
1211,25000,22,0.2632642748863062,0.0,0.8036479,SVM
1205,25000,14,0.7450788775652659,0.0523282275580161,1.7142272,SVM
1182,25000,14,0.3159972627256935,0.0,2962.2043,LogisticRegression
1181,25000,44,0.2742099898063201,0.0319150203471728,15.506298,SVM
1180,25000,22,0.0923708817617757,0.0,0.6783544,SVM
42769,25000,28,0.8870772946859904,0.0698446754882945,0.282323,SVM
256,25000,27,0.5683814303638645,0.0,5.4287615,LogisticRegression
1375,25000,36,0.9161493063539512,0.0,0.77402735,SVM
128,25000,39,0.7329821156245667,0.0,38.280846,RandomForest
146,25000,34,0.5599650567827281,0.0,1.9378247,SVM
77,25000,9,0.4227989300552046,0.0,1.2585622,SVM
120,25000,22,0.9294589797020916,0.0,4.2702827,RandomForest
121,25000,27,0.5088418130243225,0.0,3.9444714,LogisticRegression
122,25000,22,0.5882091353789467,0.0,1.9209508,SVM
124,25000,15,0.8021914648212226,0.0,0.9904901,SVM
126,25000,20,0.429388221841052,0.0,1.369421,SVM
40514,25000,20,0.4290613924774208,0.0,541.105,LogisticRegression
131,25000,29,0.065234990838979,0.0,0.72262657,SVM
139,25000,32,0.995530012771392,0.0,1.3967329,SVM
140,25000,13,0.8040121229614663,0.0,1.822696,SVM
72,25000,36,0.9161493063539512,0.0,0.7513503,SVM
142,25000,19,0.2641585760517799,0.0,1.2579075,SVM
73,25000,16,0.5491386788945346,0.0,1.8010609,SVM
152,25000,10,1.0,0.0049596355433764,0.26182705,LogisticRegression
40518,25000,34,0.5599650567827281,0.0,1.9378247,SVM
162,25000,3,0.6278161218908712,0.0038817960759792,3.5990517,LogisticRegression
161,25000,3,0.6277101373787356,0.0024643744225121,3.645529,LogisticRegression
153,25000,10,0.999360204734485,0.0050179873891847,0.41625646,LogisticRegression
41228,25000,32,0.8577691907557405,0.091957500740025,1.1554066,RandomForest
44129,25000,24,1.0,0.0766968183856375,0.24482393,SVM
44077,25000,24,1.0,0.0766968183856375,0.24482393,SVM
43975,25000,24,1.0,0.0766968183856375,0.24482393,SVM
44092,25000,24,1.0,0.0766968183856375,0.24482393,SVM
45549,25000,30,0.5190181066958318,0.2817779325076516,549.2978,RandomForest
45550,25000,30,0.5190181066958318,0.00938437852557345,49.977123,RandomForest
45551,25000,30,0.5191104089445221,0.00938437852557345,49.977123,RandomForest
1178,25000,12,0.0234995496601981,0.0,1.889761,SVM
42206,25000,37,0.0378180912449665,0.0,49.977123,RandomForest
44112,25000,10,1.0,0.1937423664209938,0.50433004,RandomForest
44121,25000,10,1.0,0.1937423664209938,0.50433004,RandomForest
44081,25000,10,1.0,0.1937423664209938,0.50433004,RandomForest
41672,25000,7,0.8032313906520485,0.0,205.70558,LogisticRegression
1169,25000,7,0.8032313906520485,0.0,205.70558,LogisticRegression
42344,25000,6,1.0,0.0,627.1548,LogisticRegression
42397,25000,30,0.0017229634972152,0.025059283785683,9556.566,LogisticRegression
1597,25000,29,0.0017229634972152,0.0204342877476374,39.584328,LogisticRegression
46363,25000,24,0.2676841945134628,0.0507403876302087,19971.295,LogisticRegression
46362,25000,24,0.2676841945134628,0.0507403876302087,19971.295,LogisticRegression
45577,25000,10,0.0716275879806249,0.00938437852557345,49.977123,RandomForest
1217,25000,11,0.0468134997068922,0.0995950833057716,6.8729372e+16,LogisticRegression
42680,25000,30,0.043231513937573,0.0,437178.7,RandomForest
143,25000,16,0.630044989241703,0.0,2.1783762,SVM
45038,25000,32,1.0,0.0,5244.384,RandomForest
44038,25000,32,0.0,0.0,49.977123,RandomForest
44161,25000,32,1.0,0.0,5244.384,RandomForest
23512,25000,28,0.8919327985469956,0.0713586269443148,0.29038036,RandomForest
